medal_type,name,gender,country,event
Gold Medal,Remco EVENEPOEL,M,Belgium,Men's Individual Time Trial
Silver Medal,Filippo GANNA,M,Italy,Men's Individual Time Trial
Bronze Medal,Wout van AERT,M,Belgium,Men's Individual Time Trial
Gold Medal,Grace BROWN,W,Australia,Women's Individual Time Trial
Silver Medal,Anna HENDERSON,W,Great Britain,Women's Individual Time Trial
Bronze Medal,Chloe DYGERT,W,United States,Women's Individual Time Trial
Gold Medal,China,W,China,Women's Synchronised 3m Springboard
Silver Medal,United States,W,United States,Women's Synchronised 3m Springboard
Bronze Medal,Great Britain,W,Great Britain,Women's Synchronised 3m Springboard
Gold Medal,OH Sanguk,M,Korea,Men's Sabre Individual
Silver Medal,Fares FERJANI,M,Tunisia,Men's Sabre Individual
Bronze Medal,Luigi SAMELE,M,Italy,Men's Sabre Individual
Gold Medal,KONG Man Wai Vivian,W,"Hong Kong, China",Women's Épée Individual
Silver Medal,Auriane MALLO-BRETON,W,France,Women's Épée Individual
Bronze Medal,Eszter MUHARI,W,Hungary,Women's Épée Individual
Gold Medal,Yeldos SMETOV,M,Kazakhstan,Men -60 kg
Silver Medal,Luka MKHEIDZE,M,France,Men -60 kg
Bronze Medal,NAGAYAMA Ryuju,M,Japan,Men -60 kg
Bronze Medal,Francisco GARRIGOS,M,Spain,Men -60 kg
Gold Medal,TSUNODA Natsumi,W,Japan,Women -48 kg
Silver Medal,Baasankhuu BAVUUDORJ,W,Mongolia,Women -48 kg
Bronze Medal,Shirine BOUKLI,W,France,Women -48 kg
Bronze Medal,Tara BABULFATH,W,Sweden,Women -48 kg
Gold Medal,France,M,France,Men
Silver Medal,Fiji,M,Fiji,Men
Bronze Medal,South Africa,M,South Africa,Men
Gold Medal,China 1,X,China,10m Air Rifle Mixed Team
Silver Medal,Korea 1,X,Korea,10m Air Rifle Mixed Team
Bronze Medal,Kazakhstan 1,X,Kazakhstan,10m Air Rifle Mixed Team
Gold Medal,United States,M,United States,Men's 4 x 100m Freestyle Relay
Silver Medal,Australia,M,Australia,Men's 4 x 100m Freestyle Relay
Bronze Medal,Italy,M,Italy,Men's 4 x 100m Freestyle Relay
Gold Medal,Lukas MAERTENS,M,Germany,Men's 400m Freestyle
Silver Medal,Elijah WINNINGTON,M,Australia,Men's 400m Freestyle
Bronze Medal,KIM Woomin,M,Korea,Men's 400m Freestyle
Gold Medal,Australia,W,Australia,Women's 4 x 100m Freestyle Relay
Silver Medal,United States,W,United States,Women's 4 x 100m Freestyle Relay
Bronze Medal,China,W,China,Women's 4 x 100m Freestyle Relay
Gold Medal,Ariarne TITMUS,W,Australia,Women's 400m Freestyle
Silver Medal,Summer McINTOSH,W,Canada,Women's 400m Freestyle
Bronze Medal,Katie LEDECKY,W,United States,Women's 400m Freestyle
Gold Medal,Korea,W,Korea,Women's Team
Silver Medal,China,W,China,Women's Team
Bronze Medal,Mexico,W,Mexico,Women's Team
Gold Medal,Jessica FOX,W,Australia,Women's Kayak Single
Silver Medal,Klaudia ZWOLINSKA,W,Poland,Women's Kayak Single
Bronze Medal,Kimberley WOODS,W,Great Britain,Women's Kayak Single
Gold Medal,Pauline FERRAND PREVOT,W,France,Women's Cross-country
Silver Medal,Haley BATTEN,W,United States,Women's Cross-country
Bronze Medal,Jenny RISSVEDS,W,Sweden,Women's Cross-country
Gold Medal,KANO Koki,M,Japan,Men's Épée Individual
Silver Medal,Yannick BOREL,M,France,Men's Épée Individual
Bronze Medal,Mohamed ELSAYED,M,Egypt,Men's Épée Individual
Gold Medal,Lee KIEFER,W,United States,Women's Foil Individual
Silver Medal,Lauren SCRUGGS,W,United States,Women's Foil Individual
Bronze Medal,Eleanor HARVEY,W,Canada,Women's Foil Individual
Gold Medal,ABE Hifumi,M,Japan,Men -66 kg
Silver Medal,Willian LIMA,M,Brazil,Men -66 kg
Bronze Medal,Gusman KYRGYZBAYEV,M,Kazakhstan,Men -66 kg
Bronze Medal,Denis VIERU,M,Republic of Moldova,Men -66 kg
Gold Medal,Diyora KELDIYOROVA,W,Uzbekistan,Women -52 kg
Silver Medal,Distria KRASNIQI,W,Kosovo,Women -52 kg
Bronze Medal,Larissa PIMENTA,W,Brazil,Women -52 kg
Bronze Medal,Amandine BUCHARD,W,France,Women -52 kg
Gold Medal,XIE Yu,M,China,10m Air Pistol Men
Silver Medal,Federico Nilo MALDINI,M,Italy,10m Air Pistol Men
Bronze Medal,Paolo MONNA,M,Italy,10m Air Pistol Men
Gold Medal,OH Ye Jin,W,Korea,10m Air Pistol Women
Silver Medal,KIM Yeji,W,Korea,10m Air Pistol Women
Bronze Medal,Manu BHAKER,W,India,10m Air Pistol Women
Gold Medal,YOSHIZAWA Coco,W,Japan,Women's Street
Silver Medal,AKAMA Liz,W,Japan,Women's Street
Bronze Medal,Rayssa LEAL,W,Brazil,Women's Street
Gold Medal,Nicolo MARTINENGHI,M,Italy,Men's 100m Breaststroke
Silver Medal,Adam PEATY,M,Great Britain,Men's 100m Breaststroke
Silver Medal,Nic FINK,M,United States,Men's 100m Breaststroke
Gold Medal,Leon MARCHAND,M,France,Men's 400m Individual Medley
Silver Medal,MATSUSHITA Tomoyuki,M,Japan,Men's 400m Individual Medley
Bronze Medal,Carson FOSTER,M,United States,Men's 400m Individual Medley
Gold Medal,Torri HUSKE,W,United States,Women's 100m Butterfly
Silver Medal,Gretchen WALSH,W,United States,Women's 100m Butterfly
Bronze Medal,ZHANG Yufei,W,China,Women's 100m Butterfly
Gold Medal,Korea,M,Korea,Men's Team
Silver Medal,France,M,France,Men's Team
Bronze Medal,Türkiye,M,Türkiye,Men's Team
Gold Medal,Japan,M,Japan,Men's Team
Silver Medal,China,M,China,Men's Team
Bronze Medal,United States,M,United States,Men's Team
Gold Medal,Nicolas GESTIN,M,France,Men's Canoe Single
Silver Medal,Adam BURGESS,M,Great Britain,Men's Canoe Single
Bronze Medal,Matej BENUS,M,Slovakia,Men's Canoe Single
Gold Medal,Thomas PIDCOCK,M,Great Britain,Men's Cross-country
Silver Medal,Victor KORETZKY,M,France,Men's Cross-country
Bronze Medal,Alan HATHERLY,M,South Africa,Men's Cross-country
Gold Medal,China,M,China,Men's Synchronised 10m Platform
Silver Medal,Great Britain,M,Great Britain,Men's Synchronised 10m Platform
Bronze Medal,Canada,M,Canada,Men's Synchronised 10m Platform
Gold Medal,Michael JUNG,O,Germany,Eventing Individual
Silver Medal,Christopher BURTON,O,Australia,Eventing Individual
Bronze Medal,Laura COLLETT,O,Great Britain,Eventing Individual
Gold Medal,Great Britain,O,Great Britain,Eventing Team
Silver Medal,France,O,France,Eventing Team
Bronze Medal,Japan,O,Japan,Eventing Team
Gold Medal,CHEUNG Ka Long,M,"Hong Kong, China",Men's Foil Individual
Silver Medal,Filippo MACCHI,M,Italy,Men's Foil Individual
Bronze Medal,Nick ITKIN,M,United States,Men's Foil Individual
Gold Medal,Manon APITHY-BRUNET,W,France,Women's Sabre Individual
Silver Medal,Sara BALZER,W,France,Women's Sabre Individual
Bronze Medal,Olga KHARLAN,W,Ukraine,Women's Sabre Individual
Gold Medal,Hidayat HEYDAROV,M,Azerbaijan,Men -73 kg
Silver Medal,Joan-Benjamin GABA,M,France,Men -73 kg
Bronze Medal,Adil OSMANOV,M,Republic of Moldova,Men -73 kg
Bronze Medal,HASHIMOTO Soichi,M,Japan,Men -73 kg
Gold Medal,Christa DEGUCHI,W,Canada,Women -57 kg
Silver Medal,HUH Mimi,W,Korea,Women -57 kg
Bronze Medal,FUNAKUBO Haruka,W,Japan,Women -57 kg
Bronze Medal,Sarah Leonie CYSIQUE,W,France,Women -57 kg
Gold Medal,SHENG Lihao,M,China,10m Air Rifle Men
Silver Medal,Victor LINDGREN,M,Sweden,10m Air Rifle Men
Bronze Medal,Miran MARICIC,M,Croatia,10m Air Rifle Men
Gold Medal,BAN Hyojin,W,Korea,10m Air Rifle Women
Silver Medal,HUANG Yuting,W,China,10m Air Rifle Women
Bronze Medal,Audrey GOGNIAT,W,Switzerland,10m Air Rifle Women
Gold Medal,HORIGOME Yuto,M,Japan,Men's Street
Silver Medal,Jagger EATON,M,United States,Men's Street
Bronze Medal,Nyjah HUSTON,M,United States,Men's Street
Gold Medal,Thomas CECCON,M,Italy,Men's 100m Backstroke
Silver Medal,XU Jiayu,M,China,Men's 100m Backstroke
Bronze Medal,Ryan MURPHY,M,United States,Men's 100m Backstroke
Gold Medal,David POPOVICI,M,Romania,Men's 200m Freestyle
Silver Medal,Matthew RICHARDS,M,Great Britain,Men's 200m Freestyle
Bronze Medal,Luke HOBSON,M,United States,Men's 200m Freestyle
Gold Medal,Tatjana SMITH,W,South Africa,Women's 100m Breaststroke
Silver Medal,TANG Qianting,W,China,Women's 100m Breaststroke
Bronze Medal,Mona Mc SHARRY,W,Ireland,Women's 100m Breaststroke
Gold Medal,Mollie O'CALLAGHAN,W,Australia,Women's 200m Freestyle
Silver Medal,Ariarne TITMUS,W,Australia,Women's 200m Freestyle
Bronze Medal,HAUGHEY Siobhan Bernadette,W,"Hong Kong, China",Women's 200m Freestyle
Gold Medal,Summer McINTOSH,W,Canada,Women's 400m Individual Medley
Silver Medal,Katie GRIMES,W,United States,Women's 400m Individual Medley
Bronze Medal,Emma WEYANT,W,United States,Women's 400m Individual Medley
Gold Medal,United States,W,United States,Women's Team
Silver Medal,Italy,W,Italy,Women's Team
Bronze Medal,Brazil,W,Brazil,Women's Team
Gold Medal,Italy,W,Italy,Women's Épée Team
Silver Medal,France,W,France,Women's Épée Team
Bronze Medal,Poland,W,Poland,Women's Épée Team
Gold Medal,NAGASE Takanori,M,Japan,Men -81 kg
Silver Medal,Tato GRIGALASHVILI,M,Georgia,Men -81 kg
Bronze Medal,LEE Joonhwan,M,Korea,Men -81 kg
Bronze Medal,Somon MAKHMADBEKOV,M,Tajikistan,Men -81 kg
Gold Medal,Andreja LESKI,W,Slovenia,Women -63 kg
Silver Medal,Prisca AWITI ALCARAZ,W,Mexico,Women -63 kg
Bronze Medal,Clarisse AGBEGNENOU,W,France,Women -63 kg
Bronze Medal,Laura FAZLIU,W,Kosovo,Women -63 kg
Gold Medal,New Zealand,W,New Zealand,Women
Silver Medal,Canada,W,Canada,Women
Bronze Medal,United States,W,United States,Women
Gold Medal,Serbia,X,Serbia,10m Air Pistol Mixed Team
Silver Medal,Türkiye 2,X,Türkiye,10m Air Pistol Mixed Team
Bronze Medal,India 1,X,India,10m Air Pistol Mixed Team
Gold Medal,Nathan HALES,M,Great Britain,Trap Men
Silver Medal,QI Ying,M,China,Trap Men
Bronze Medal,Jean Pierre BROL CARDENAS,M,Guatemala,Trap Men
Gold Medal,Great Britain,M,Great Britain,Men's 4 x 200m Freestyle Relay
Silver Medal,United States,M,United States,Men's 4 x 200m Freestyle Relay
Bronze Medal,Australia,M,Australia,Men's 4 x 200m Freestyle Relay
Gold Medal,Daniel WIFFEN,M,Ireland,Men's 800m Freestyle
Silver Medal,Bobby FINKE,M,United States,Men's 800m Freestyle
Bronze Medal,Gregorio PALTRINIERI,M,Italy,Men's 800m Freestyle
Gold Medal,Kaylee McKEOWN,W,Australia,Women's 100m Backstroke
Silver Medal,Regan SMITH,W,United States,Women's 100m Backstroke
Bronze Medal,Katharine BERKOFF,W,United States,Women's 100m Backstroke
Gold Medal,WANG/SUN,X,China,Mixed Doubles
Silver Medal,RI/KIM,X,DPR Korea,Mixed Doubles
Bronze Medal,LIM/SHIN,X,Korea,Mixed Doubles
Gold Medal,OKA Shinnosuke,M,Japan,Men's All-Around
Silver Medal,ZHANG Boheng,M,China,Men's All-Around
Bronze Medal,XIAO Ruoteng,M,China,Men's All-Around
Gold Medal,Jessica FOX,W,Australia,Women's Canoe Single
Silver Medal,Elena LILIK,W,Germany,Women's Canoe Single
Bronze Medal,Evy LEIBFARTH,W,United States,Women's Canoe Single
Gold Medal,Jose TORRES GIL,M,Argentina,Men's Park
Silver Medal,Kieran Darren David REILLY,M,Great Britain,Men's Park
Bronze Medal,Anthony JEANJEAN,M,France,Men's Park
Gold Medal,DENG Yawen,W,China,Women's Park
Silver Medal,Perris BENEGAS,W,United States,Women's Park
Bronze Medal,Natalya DIEHM,W,Australia,Women's Park
Gold Medal,China,W,China,Women's Synchronised 10m Platform
Silver Medal,DPR Korea,W,DPR Korea,Women's Synchronised 10m Platform
Bronze Medal,Great Britain,W,Great Britain,Women's Synchronised 10m Platform
Gold Medal,Korea,M,Korea,Men's Sabre Team
Silver Medal,Hungary,M,Hungary,Men's Sabre Team
Bronze Medal,France,M,France,Men's Sabre Team
Gold Medal,Lasha BEKAURI,M,Georgia,Men -90 kg
Silver Medal,MURAO Sanshiro,M,Japan,Men -90 kg
Bronze Medal,Maxime-Gael NGAYAP HAMBOU,M,France,Men -90 kg
Bronze Medal,Theodoros TSELIDIS,M,Greece,Men -90 kg
Gold Medal,Barbara MATIC,W,Croatia,Women -70 kg
Silver Medal,Miriam BUTKEREIT,W,Germany,Women -70 kg
Bronze Medal,Michaela POLLERES,W,Austria,Women -70 kg
Bronze Medal,Gabriella WILLEMS,W,Belgium,Women -70 kg
Gold Medal,Netherlands,M,Netherlands,Men's Quadruple Sculls
Silver Medal,Italy,M,Italy,Men's Quadruple Sculls
Bronze Medal,Poland,M,Poland,Men's Quadruple Sculls
Gold Medal,Great Britain,W,Great Britain,Women's Quadruple Sculls
Silver Medal,Netherlands,W,Netherlands,Women's Quadruple Sculls
Bronze Medal,Germany,W,Germany,Women's Quadruple Sculls
Gold Medal,Adriana RUANO OLIVA,W,Guatemala,Trap Women
Silver Medal,Silvana Maria STANCO,W,Italy,Trap Women
Bronze Medal,Penny SMITH,W,Australia,Trap Women
Gold Medal,PAN Zhanle,M,China,Men's 100m Freestyle
Silver Medal,Kyle CHALMERS,M,Australia,Men's 100m Freestyle
Bronze Medal,David POPOVICI,M,Romania,Men's 100m Freestyle
Gold Medal,Leon MARCHAND,M,France,Men's 200m Breaststroke
Silver Medal,Zac STUBBLETY-COOK,M,Australia,Men's 200m Breaststroke
Bronze Medal,Caspar CORBEAU,M,Netherlands,Men's 200m Breaststroke
Gold Medal,Leon MARCHAND,M,France,Men's 200m Butterfly
Silver Medal,Kristof MILAK,M,Hungary,Men's 200m Butterfly
Bronze Medal,Ilya KHARUN,M,Canada,Men's 200m Butterfly
Gold Medal,Sarah SJOESTROEM,W,Sweden,Women's 100m Freestyle
Silver Medal,Torri HUSKE,W,United States,Women's 100m Freestyle
Bronze Medal,HAUGHEY Siobhan Bernadette,W,"Hong Kong, China",Women's 100m Freestyle
Gold Medal,Katie LEDECKY,W,United States,Women's 1500m Freestyle
Silver Medal,Anastasiia KIRPICHNIKOVA,W,France,Women's 1500m Freestyle
Bronze Medal,Isabel GOSE,W,Germany,Women's 1500m Freestyle
Gold Medal,Alex YEE,M,Great Britain,Men's Individual
Silver Medal,Hayden WILDE,M,New Zealand,Men's Individual
Bronze Medal,Leo BERGERE,M,France,Men's Individual
Gold Medal,Cassandre BEAUGRAND,W,France,Women's Individual
Silver Medal,Julie DERRON,W,Switzerland,Women's Individual
Bronze Medal,Beth POTTER,W,Great Britain,Women's Individual
Gold Medal,Simone BILES,W,United States,Women's All-Around
Silver Medal,Rebeca ANDRADE,W,Brazil,Women's All-Around
Bronze Medal,Sunisa LEE,W,United States,Women's All-Around
Gold Medal,Brian Daniel PINTADO,M,Ecuador,Men's 20km Race Walk
Silver Medal,Caio BONFIM,M,Brazil,Men's 20km Race Walk
Bronze Medal,Alvaro MARTIN,M,Spain,Men's 20km Race Walk
Gold Medal,YANG Jiayu,W,China,Women's 20km Race Walk
Silver Medal,Maria PEREZ,W,Spain,Women's 20km Race Walk
Bronze Medal,Jemima MONTAG,W,Australia,Women's 20km Race Walk
Gold Medal,Giovanni de GENNARO,M,Italy,Men's Kayak Single
Silver Medal,Titouan CASTRYCK,M,France,Men's Kayak Single
Bronze Medal,Pau ECHANIZ,M,Spain,Men's Kayak Single
Gold Medal,United States,W,United States,Women's Foil Team
Silver Medal,Italy,W,Italy,Women's Foil Team
Bronze Medal,Japan,W,Japan,Women's Foil Team
Gold Medal,Zelym KOTSOIEV,M,Azerbaijan,Men -100 kg
Silver Medal,Ilia SULAMANIDZE,M,Georgia,Men -100 kg
Bronze Medal,Peter PALTCHIK,M,Israel,Men -100 kg
Bronze Medal,Muzaffarbek TUROBOYEV,M,Uzbekistan,Men -100 kg
Gold Medal,Alice BELLANDI,W,Italy,Women -78 kg
Silver Medal,Inbar LANIR,W,Israel,Women -78 kg
Bronze Medal,MA Zhenzhao,W,China,Women -78 kg
Bronze Medal,Patricia SAMPAIO,W,Portugal,Women -78 kg
Gold Medal,Romania,M,Romania,Men's Double Sculls
Silver Medal,Netherlands,M,Netherlands,Men's Double Sculls
Bronze Medal,Ireland,M,Ireland,Men's Double Sculls
Gold Medal,United States,M,United States,Men's Four
Silver Medal,New Zealand,M,New Zealand,Men's Four
Bronze Medal,Great Britain,M,Great Britain,Men's Four
Gold Medal,New Zealand,W,New Zealand,Women's Double Sculls
Silver Medal,Romania,W,Romania,Women's Double Sculls
Bronze Medal,Great Britain,W,Great Britain,Women's Double Sculls
Gold Medal,Netherlands,W,Netherlands,Women's Four
Silver Medal,Great Britain,W,Great Britain,Women's Four
Bronze Medal,New Zealand,W,New Zealand,Women's Four
Gold Medal,LIU Yukun,M,China,50m Rifle 3 Positions Men
Silver Medal,Serhiy KULISH,M,Ukraine,50m Rifle 3 Positions Men
Bronze Medal,Swapnil KUSALE,M,India,50m Rifle 3 Positions Men
Gold Medal,Hubert KOS,M,Hungary,Men's 200m Backstroke
Silver Medal,Apostolos CHRISTOU,M,Greece,Men's 200m Backstroke
Bronze Medal,Roman MITYUKOV,M,Switzerland,Men's 200m Backstroke
Gold Medal,Kate DOUGLASS,W,United States,Women's 200m Breaststroke
Silver Medal,Tatjana SMITH,W,South Africa,Women's 200m Breaststroke
Bronze Medal,Tes SCHOUTEN,W,Netherlands,Women's 200m Breaststroke
Gold Medal,Summer McINTOSH,W,Canada,Women's 200m Butterfly
Silver Medal,Regan SMITH,W,United States,Women's 200m Butterfly
Bronze Medal,ZHANG Yufei,W,China,Women's 200m Butterfly
Gold Medal,Australia,W,Australia,Women's 4 x 200m Freestyle Relay
Silver Medal,United States,W,United States,Women's 4 x 200m Freestyle Relay
Bronze Medal,China,W,China,Women's 4 x 200m Freestyle Relay
Gold Medal,Korea,X,Korea,Mixed Team
Silver Medal,Germany,X,Germany,Mixed Team
Bronze Medal,United States,X,United States,Mixed Team
Gold Medal,Joshua CHEPTEGEI,M,Uganda,"Men's 10,000m"
Silver Medal,Berihu AREGAWI,M,Ethiopia,"Men's 10,000m"
Bronze Medal,Grant FISHER,M,United States,"Men's 10,000m"
Gold Medal,ZHENG/HUANG,X,China,Mixed Doubles
Silver Medal,KIM/JEONG,X,Korea,Mixed Doubles
Bronze Medal,WATANABE/HIGASHINO,X,Japan,Mixed Doubles
Gold Medal,Joris DAUDET,M,France,Men
Silver Medal,Sylvain ANDRE,M,France,Men
Bronze Medal,Romain MAHIEU,M,France,Men
Gold Medal,Saya SAKAKIBARA,W,Australia,Women
Silver Medal,Manon VEENSTRA,W,Netherlands,Women
Bronze Medal,Zoe CLAESSENS,W,Switzerland,Women
Gold Medal,China,M,China,Men's Synchronised 3m Springboard
Silver Medal,Mexico,M,Mexico,Men's Synchronised 3m Springboard
Bronze Medal,Great Britain,M,Great Britain,Men's Synchronised 3m Springboard
Gold Medal,Great Britain,O,Great Britain,Jumping Team
Silver Medal,United States,O,United States,Jumping Team
Bronze Medal,France,O,France,Jumping Team
Gold Medal,Hungary,M,Hungary,Men's Épée Team
Silver Medal,Japan,M,Japan,Men's Épée Team
Bronze Medal,Czechia,M,Czechia,Men's Épée Team
Gold Medal,Teddy RINER,M,France,Men +100 kg
Silver Medal,KIM Minjong,M,Korea,Men +100 kg
Bronze Medal,Temur RAKHIMOV,M,Tajikistan,Men +100 kg
Bronze Medal,Alisher YUSUPOV,M,Uzbekistan,Men +100 kg
Gold Medal,Beatriz SOUZA,W,Brazil,Women +78 kg
Silver Medal,Raz HERSHKO,W,Israel,Women +78 kg
Bronze Medal,KIM Hayun,W,Korea,Women +78 kg
Bronze Medal,Romane DICKO,W,France,Women +78 kg
Gold Medal,Ireland,M,Ireland,Lightweight Men's Double Sculls
Silver Medal,Italy,M,Italy,Lightweight Men's Double Sculls
Bronze Medal,Greece,M,Greece,Lightweight Men's Double Sculls
Gold Medal,Great Britain,W,Great Britain,Lightweight Women's Double Sculls
Silver Medal,Romania,W,Romania,Lightweight Women's Double Sculls
Bronze Medal,Greece,W,Greece,Lightweight Women's Double Sculls
Gold Medal,Croatia,M,Croatia,Men's Pair
Silver Medal,Great Britain,M,Great Britain,Men's Pair
Bronze Medal,Switzerland,M,Switzerland,Men's Pair
Gold Medal,Netherlands,W,Netherlands,Women's Pair
Silver Medal,Romania,W,Romania,Women's Pair
Bronze Medal,Australia,W,Australia,Women's Pair
Gold Medal,BOTIN/TRITTEL,M,Spain,Men's Skiff
Silver Medal,McHARDIE/McKENZIE,M,New Zealand,Men's Skiff
Bronze Medal,BARROWS/HENKEN,M,United States,Men's Skiff
Gold Medal,AANHOLT/DUETZ,W,Netherlands,Women's Skiff
Silver Medal,BOBECK/NETZLER,W,Sweden,Women's Skiff
Bronze Medal,STEYAERT/PICON,W,France,Women's Skiff
Gold Medal,Chiara LEONE,W,Switzerland,50m Rifle 3 Positions Women
Silver Medal,Sagen MADDALENA,W,United States,50m Rifle 3 Positions Women
Bronze Medal,ZHANG Qiongyue,W,China,50m Rifle 3 Positions Women
Gold Medal,Leon MARCHAND,M,France,Men's 200m Individual Medley
Silver Medal,Duncan SCOTT,M,Great Britain,Men's 200m Individual Medley
Bronze Medal,WANG Shun,M,China,Men's 200m Individual Medley
Gold Medal,Cameron McEVOY,M,Australia,Men's 50m Freestyle
Silver Medal,Benjamin PROUD,M,Great Britain,Men's 50m Freestyle
